mention	theme	enonce	cle
CSP	T1	Qu'est ce qui est traditionnellement organisé sur les Champs Élysées le 14 juillet pour célébrer la fête nationale ?	qu est ce qui est traditionnellement organise sur les champs elysees le 14 juillet pour celebrer la fete nationale
CSP	T1	Qui est Marianne ?	qui est marianne
CSP	T1	Une personne peut-elle changer librement de religion ?	une personne peut elle changer librement de religion
CSP	T1	"La France est une République indivisible, ..., démocratique et sociale". Complétez cette phrase extraite de l'article 1er de la Constitution :	la france est une republique indivisible democratique et sociale completez cette phrase extraite de l article 1er de la constitution
CSP	T1	En quelle année la loi de séparation des Églises et de l'État a-t-elle été votée ?	en quelle annee la loi de separation des eglises et de l etat a t elle ete votee
CSP	T1	Que permet le principe de laïcité ?	que permet le principe de laicite
CSP	T1	Quel droit est garanti par la laïcité ?	quel droit est garanti par la laicite
CSP	T1	Pourquoi le principe de laïcité doit-il être respecté à l'école ?	pourquoi le principe de laicite doit il etre respecte a l ecole
CSP	T1	Qu'est-ce que la laïcité ?	qu est ce que la laicite
CSP	T1	Un enfant peut-il refuser d’aller à l’école pour une raison religieuse ?	un enfant peut il refuser d aller a l ecole pour une raison religieuse
CSP	T1	Une personne a-t-elle le droit de ne pas croire en une religion ?	une personne a t elle le droit de ne pas croire en une religion
CSP	T2	Qui nomme le Premier ministre ?	qui nomme le premier ministre
CSP	T2	Le Parlement est composé :	le parlement est compose
CSP	T2	Qu'est-ce que le pouvoir exécutif ? Le pouvoir :	qu est ce que le pouvoir executif le pouvoir
CSP	T2	Les dirigeants sont élus par les citoyens dans :	les dirigeants sont elus par les citoyens dans
CSP	T2	A-t-on le droit de ne pas respecter une loi ?	a t on le droit de ne pas respecter une loi
CSP	T2	Qui doit respecter la loi ?	qui doit respecter la loi
CSP	T2	Quel est le rôle de l'autorité judiciaire ?	quel est le role de l autorite judiciaire
CSP	T2	Quel pouvoir détient un juge ? Le pouvoir :	quel pouvoir detient un juge le pouvoir
CSP	T2	L'autorité judiciaire est exercée par :	l autorite judiciaire est exercee par
CSP	T2	Que se passe-t-il si un ministre ne respecte pas la loi ?	que se passe t il si un ministre ne respecte pas la loi
CSP	T2	Qui est élu lors des élections législatives ?	qui est elu lors des elections legislatives
CSP	T2	Combien de députés composent l’Assemblée nationale ?	combien de deputes composent l assemblee nationale
CSP	T2	Quand sont élus les sénateurs ?	quand sont elus les senateurs
CSP	T2	Qui est élu lors des élections municipales ?	qui est elu lors des elections municipales
CSP	T2	Qui est élu lors des élections présidentielles ?	qui est elu lors des elections presidentielles
CSP	T2	À partir de quel âge a-t-on le droit de voter ?	a partir de quel age a t on le droit de voter
CSP	T2	Pour combien de temps est élu le président de la République française ?	pour combien de temps est elu le president de la republique francaise
CSP	T2	Pour combien de temps sont élus les députés ?	pour combien de temps sont elus les deputes
CSP	T2	Pour combien de temps sont élus les sénateurs ?	pour combien de temps sont elus les senateurs
CSP	T2	Qui possède le pouvoir exécutif ?	qui possede le pouvoir executif
CSP	T2	Quelle condition est nécessaire pour voter aux élections ?	quelle condition est necessaire pour voter aux elections
CSP	T2	Qui peut voter aux élections en France ?	qui peut voter aux elections en france
CSP	T2	Que signifie « suffrage universel » ?	que signifie suffrage universel
CSP	T2	Concernant les partis politiques, quelle proposition est correcte ?	concernant les partis politiques quelle proposition est correcte
CSP	T2	Quel est le rôle des députés ?	quel est le role des deputes
CSP	T2	La séparation des pouvoirs est un principe fondamental. Quels sont les trois pouvoirs concernés ?	la separation des pouvoirs est un principe fondamental quels sont les trois pouvoirs concernes
CSP	T2	Qui possède le pouvoir législatif ?	qui possede le pouvoir legislatif
CSP	T2	Qui sanctionne l'auteur d'un vol ?	qui sanctionne l auteur d un vol
CSP	T2	Qui élit les députés ?	qui elit les deputes
CSP	T2	Qui vote les lois ?	qui vote les lois
CSP	T2	Qui réside au palais de l'Élysée ?	qui reside au palais de l elysee
CSP	T2	Combien y a-t-il de départements en France ?	combien y a t il de departements en france
CSP	T2	Qui représente l'État dans un département ?	qui represente l etat dans un departement
CSP	T2	Qui dirige la commune ?	qui dirige la commune
CSP	T2	Est-ce que le président de la République a tous les pouvoirs ?	est ce que le president de la republique a tous les pouvoirs
CSP	T2	Qui est le préfet ?	qui est le prefet
CSP	T2	Quel est le rôle du Parlement ?	quel est le role du parlement
CSP	T2	Quel est le régime politique de la France aujourd'hui ?	quel est le regime politique de la france aujourd hui
CSP	T2	Combien d'États font partie de l'Union européenne au 1er janvier 2025 ?	combien d etats font partie de l union europeenne au 1er janvier 2025
CSP	T2	Quel État n'est pas membre de l'Union européenne ?	quel etat n est pas membre de l union europeenne
CSP	T2	Quelle condition est nécessaire pour voter aux élections européennes ?	quelle condition est necessaire pour voter aux elections europeennes
CSP	T2	À quelle fréquence les élections européennes sont-elles organisées ?	a quelle frequence les elections europeennes sont elles organisees
CSP	T2	Quel pays est un pays fondateur de l'Union européenne ?	quel pays est un pays fondateur de l union europeenne
CSP	T2	Quelle est la monnaie utilisée en France ?	quelle est la monnaie utilisee en france
CSP	T2	Qui élit les députés européens ?	qui elit les deputes europeens
CSP	T2	Quand célèbre-t-on la journée de l'Europe ?	quand celebre t on la journee de l europe
CSP	T3	Comment s’appelle la Constitution actuelle de la France ?	comment s appelle la constitution actuelle de la france
CSP	T3	Comment s'appelle le texte qui énonce les droits et devoirs des personnes résidant en France ?	comment s appelle le texte qui enonce les droits et devoirs des personnes residant en france
CSP	T3	Concernant les droits individuels, quelle proposition est correcte ?	concernant les droits individuels quelle proposition est correcte
CSP	T3	De quelle année date la Déclaration des droits de l’homme et du citoyen ?	de quelle annee date la declaration des droits de l homme et du citoyen
CSP	T3	Lequel de ces droits est un droit fondamental ?	lequel de ces droits est un droit fondamental
CSP	T3	Parmi ces textes, lequel garantit les droits et libertés en France ?	parmi ces textes lequel garantit les droits et libertes en france
CSP	T3	Qu’est-ce que la liberté d’expression ?	qu est ce que la liberte d expression
CSP	T3	Quel droit permet à une personne de se défendre devant la justice ?	quel droit permet a une personne de se defendre devant la justice
CSP	T3	Quel est le texte fondateur établissant en France les droits et les devoirs de chaque citoyen ?	quel est le texte fondateur etablissant en france les droits et les devoirs de chaque citoyen
CSP	T3	Quel texte a été adopté pendant la Révolution française ?	quel texte a ete adopte pendant la revolution francaise
CSP	T3	Quelle liberté permet à une personne de ne pas avoir de religion ?	quelle liberte permet a une personne de ne pas avoir de religion
CSP	T3	Une femme peut avorter :	une femme peut avorter
CSP	T3	Est-il toujours possible de divorcer ?	est il toujours possible de divorcer
CSP	T3	La peine de mort est :	la peine de mort est
CSP	T3	Concernant les limites aux libertés individuelles, quelle proposition est correcte ?	concernant les limites aux libertes individuelles quelle proposition est correcte
CSP	T3	En France, est-ce légal d'être marié à plusieurs personnes en même temps ?	en france est ce legal d etre marie a plusieurs personnes en meme temps
CSP	T3	Faut-il réduire ses déchets ?	faut il reduire ses dechets
CSP	T3	Jeter une bouteille dans la rue est :	jeter une bouteille dans la rue est
CSP	T3	Pourquoi les libertés individuelles peuvent-elles être limitées ?	pourquoi les libertes individuelles peuvent elles etre limitees
CSP	T3	Que doit faire une personne en cas d’accident ?	que doit faire une personne en cas d accident
CSP	T3	Que permet la citoyenneté française ?	que permet la citoyennete francaise
CSP	T3	Que risque une personne qui ne respecte pas la loi ?	que risque une personne qui ne respecte pas la loi
CSP	T3	Quel est le rôle de la gendarmerie ?	quel est le role de la gendarmerie
CSP	T3	Quel est le rôle de la police ?	quel est le role de la police
CSP	T3	Qu'est-ce qu'une infraction ?	qu est ce qu une infraction
CSP	T3	Comment peut-on réduire ses déchets ?	comment peut on reduire ses dechets
CSP	T3	Déposer une machine à laver cassée sur le trottoir est :	deposer une machine a laver cassee sur le trottoir est
CSP	T3	En quoi consiste la traite des êtres humains ?	en quoi consiste la traite des etres humains
CSP	T3	Que doit faire une victime de violences ?	que doit faire une victime de violences
CSP	T3	Quelle est l'infraction la plus grave ?	quelle est l infraction la plus grave
CSP	T4	En quelle année a débuté la Révolution française ?	en quelle annee a debute la revolution francaise
CSP	T4	Qui était Napoléon Ier ?	qui etait napoleon ier
CSP	T4	Lequel de ces personnages historiques est français ?	lequel de ces personnages historiques est francais
CSP	T4	Dans quelle République est-on aujourd'hui ?	dans quelle republique est on aujourd hui
CSP	T4	Qu'est-ce que la Shoah ?	qu est ce que la shoah
CSP	T4	Quel pays ou région du monde a été colonisé par la France ?	quel pays ou region du monde a ete colonise par la france
CSP	T4	Qui a rendu l’école gratuite, laïque et obligatoire ?	qui a rendu l ecole gratuite laique et obligatoire
CSP	T4	Quand a eu lieu la Seconde Guerre mondiale ?	quand a eu lieu la seconde guerre mondiale
CSP	T4	Quand a eu lieu la Première Guerre mondiale ?	quand a eu lieu la premiere guerre mondiale
CSP	T4	En quelle année a été créée la Communauté Économique Européenne (CEE) ?	en quelle annee a ete creee la communaute economique europeenne cee
CSP	T4	Le 11 novembre est un jour férié. À quoi correspond cette date ?	le 11 novembre est un jour ferie a quoi correspond cette date
CSP	T4	Qui a été le premier Président élu sous la Ve République ?	qui a ete le premier president elu sous la ve republique
CSP	T4	En quelle année l'esclavage a-t-il été aboli définitivement en France ?	en quelle annee l esclavage a t il ete aboli definitivement en france
CSP	T4	Depuis quelle année l'école publique est-elle gratuite ?	depuis quelle annee l ecole publique est elle gratuite
CSP	T4	Combien y a-t-il eu de républiques en France ?	combien y a t il eu de republiques en france
CSP	T4	Qui était le roi de France au moment de la Révolution française ?	qui etait le roi de france au moment de la revolution francaise
CSP	T4	Qui a fondé la Ve République ?	qui a fonde la ve republique
CSP	T4	Que célèbre-t-on le 14 juillet ?	que celebre t on le 14 juillet
CSP	T4	Quelle guerre a eu lieu entre 1914 et 1918 ?	quelle guerre a eu lieu entre 1914 et 1918
CSP	T4	Pourquoi l’année 1958 est importante pour la France ?	pourquoi l annee 1958 est importante pour la france
CSP	T4	Quel fleuve coule en France ?	quel fleuve coule en france
CSP	T4	Quelle ville est française ?	quelle ville est francaise
CSP	T4	Quel océan borde la côte ouest française ?	quel ocean borde la cote ouest francaise
CSP	T4	Qu'est-ce que Paris ?	qu est ce que paris
CSP	T4	Quelle est la capitale de la France ?	quelle est la capitale de la france
CSP	T4	Sur quel continent se situe la France métropolitaine ?	sur quel continent se situe la france metropolitaine
CSP	T4	Quelle île est un département d'outre-mer français ?	quelle ile est un departement d outre mer francais
CSP	T4	Combien y a-t-il de régions en France métropolitaine ?	combien y a t il de regions en france metropolitaine
CSP	T4	Quelle ville est un grand port maritime ?	quelle ville est un grand port maritime
CSP	T4	Quelle est la mer au sud de la France métropolitaine ?	quelle est la mer au sud de la france metropolitaine
CSP	T4	Quelle ville est située au bord de la mer Méditerranée ?	quelle ville est situee au bord de la mer mediterranee
CSP	T4	Où se situe la Corse ?	ou se situe la corse
CSP	T4	Quelle chaîne de montagnes est située entre la France et l'Italie ?	quelle chaine de montagnes est situee entre la france et l italie
CSP	T4	Qui était Molière ?	qui etait moliere
CSP	T4	Qui était Charles Baudelaire ?	qui etait charles baudelaire
CSP	T4	Qui était George Sand ?	qui etait george sand
CSP	T4	Qui était Simone de Beauvoir ?	qui etait simone de beauvoir
CSP	T4	Qui était Albert Camus ?	qui etait albert camus
CSP	T4	Qui était Paul Cézanne ?	qui etait paul cezanne
CSP	T4	Qui était Marc Chagall ?	qui etait marc chagall
CSP	T4	Qui était Joséphine Baker ?	qui etait josephine baker
CSP	T4	Qui était une chanteuse française célèbre ?	qui etait une chanteuse francaise celebre
CSP	T4	Qu'est-ce que le Louvre ?	qu est ce que le louvre
CSP	T4	Qui était Jean de la Fontaine ?	qui etait jean de la fontaine
CSP	T4	Quel écrivain est français ?	quel ecrivain est francais
CSP	T4	Dans quelle ville se trouve la tour Eiffel ?	dans quelle ville se trouve la tour eiffel
CSP	T4	Quand célèbre-t-on Noël ?	quand celebre t on noel
CSP	T5	Quel numéro d'urgence permet d'appeler le SAMU ?	quel numero d urgence permet d appeler le samu
CSP	T5	Quel numéro d'urgence permet d'appeler les pompiers ?	quel numero d urgence permet d appeler les pompiers
CSP	T5	Après avoir obtenu le permis de conduire, que faut-il faire pour pouvoir conduire sa voiture ?	apres avoir obtenu le permis de conduire que faut il faire pour pouvoir conduire sa voiture
CSP	T5	À quelles conditions un mariage est-il reconnu juridiquement ?	a quelles conditions un mariage est il reconnu juridiquement
CSP	T5	Quand faut-il déclarer son enfant au service d'état civil de la mairie ?	quand faut il declarer son enfant au service d etat civil de la mairie
CSP	T5	Le travail non déclaré est :	le travail non declare est
CSP	T5	Que doit faire un employeur pour fixer un salaire ?	que doit faire un employeur pour fixer un salaire
CSP	T5	Qu'est-ce que le SMIC ?	qu est ce que le smic
CSP	T5	Quelle est la première démarche à réaliser pour chercher un emploi ?	quelle est la premiere demarche a realiser pour chercher un emploi
CSP	T5	Quelle est la durée légale du temps de travail par semaine ?	quelle est la duree legale du temps de travail par semaine
CSP	T5	Qui est aidé par France Travail ?	qui est aide par france travail
CSP	T5	Une personne étrangère en situation régulière peut créer son entreprise :	une personne etrangere en situation reguliere peut creer son entreprise
CSP	T5	Une femme peut-elle créer son entreprise ?	une femme peut elle creer son entreprise
CSP	T5	À partir de quel âge un mineur peut-il travailler ?	a partir de quel age un mineur peut il travailler
CSP	T5	Auprès de quel organisme faut-il demander le remboursement des frais de santé ?	aupres de quel organisme faut il demander le remboursement des frais de sante
CSP	T5	Qu’est-ce qu’un numéro d’urgence ?	qu est ce qu un numero d urgence
CSP	T5	Concernant l'accès aux soins, quelle proposition est correcte ?	concernant l acces aux soins quelle proposition est correcte
CSP	T5	En cas de problème de santé non urgent, à qui faut-il s’adresser en premier ?	en cas de probleme de sante non urgent a qui faut il s adresser en premier
CSP	T5	Quel est le rôle du médecin traitant ?	quel est le role du medecin traitant
CSP	T5	Dans quelles situations doit-on se rendre aux urgences de l'hôpital ?	dans quelles situations doit on se rendre aux urgences de l hopital
CSP	T5	Quel est l’objectif des vaccinations obligatoires ?	quel est l objectif des vaccinations obligatoires
CSP	T5	À quoi sert la carte Vitale ?	a quoi sert la carte vitale
CSP	T5	À quoi sert une mutuelle santé ?	a quoi sert une mutuelle sante
CSP	T5	Jusqu'à quel âge l'école est-elle obligatoire ?	jusqu a quel age l ecole est elle obligatoire
CSP	T5	L'autorité parentale prévoit l'obligation :	l autorite parentale prevoit l obligation
CSP	T5	Pour qui l'école est-elle obligatoire ?	pour qui l ecole est elle obligatoire
CSP	T5	Quel diplôme obtient-on à la fin du lycée ?	quel diplome obtient on a la fin du lycee
CSP	T5	Dans quels établissements scolaires vont les élèves après l'école élémentaire ?	dans quels etablissements scolaires vont les eleves apres l ecole elementaire
CSP	T5	Pour qui l'école est elle obligatoire ?	pour qui l ecole est elle obligatoire
CSP	T5	Un enfant inscrit à l'école :	un enfant inscrit a l ecole
CSP	T5	Les enfants qui ne parlent pas français :	les enfants qui ne parlent pas francais
