mention	theme	enonce	cle
CR	T1	Quelle est la place de la langue française dans la République ?	quelle est la place de la langue francaise dans la republique
CR	T1	Quels sont des symboles officiels de la République française ?	quels sont des symboles officiels de la republique francaise
CR	T1	A-t-on le droit d'insulter publiquement quelqu’un parce qu’il est différent (handicap, apparence physique, sexe…) ?	a t on le droit d insulter publiquement quelqu un parce qu il est different handicap apparence physique sexe
CR	T1	Le régime de la France est :	le regime de la france est
CR	T1	Pourquoi le principe de laïcité doit-il être respecté à l'école ?	pourquoi le principe de laicite doit il etre respecte a l ecole
CR	T1	En quelle année la loi de séparation des Églises et de l'Etat a-t-elle été votée ?	en quelle annee la loi de separation des eglises et de l etat a t elle ete votee
CR	T1	Une personne a-t-elle le droit de ne pas croire en une religion ?	une personne a t elle le droit de ne pas croire en une religion
CR	T1	Quel droit est garanti par la laïcité ?	quel droit est garanti par la laicite
CR	T1	À l'école publique, qui peut porter des signes religieux très visibles ?	a l ecole publique qui peut porter des signes religieux tres visibles
CR	T1	Selon le principe de laïcité, que signifie la neutralité de l’État ?	selon le principe de laicite que signifie la neutralite de l etat
CR	T1	Que peut faire un usager du service public dans une mairie ?	que peut faire un usager du service public dans une mairie
CR	T1	Qui doit respecter le principe de neutralité religieuse dans une préfecture ?	qui doit respecter le principe de neutralite religieuse dans une prefecture
CR	T1	La laïcité impose-t-elle aux agents publics d'être neutres vis-à-vis des usagers ?	la laicite impose t elle aux agents publics d etre neutres vis a vis des usagers
CR	T1	Que garantit le principe de laïcité ?	que garantit le principe de laicite
CR	T1	A-t-on le droit de changer de religion ?	a t on le droit de changer de religion
CR	T1	Que représente la laïcité ?	que represente la laicite
CR	T1	Qu'est ce qui est interdit par la Charte de la laïcité à l'école ?	qu est ce qui est interdit par la charte de la laicite a l ecole
CR	T1	Que dit l'article 1er de la Constitution française ?	que dit l article 1er de la constitution francaise
CR	T2	Qu'est-ce que l'État de droit ?	qu est ce que l etat de droit
CR	T2	Le président de la République a commis un crime. Quelle proposition est correcte ?	le president de la republique a commis un crime quelle proposition est correcte
CR	T2	La loi est l'expression de :	la loi est l expression de
CR	T2	Quelle est la durée du mandat du conseil municipal et du maire ?	quelle est la duree du mandat du conseil municipal et du maire
CR	T2	Que garantit l’État de droit ?	que garantit l etat de droit
CR	T2	Une personne peut-elle voter à la place d'une autre ?	une personne peut elle voter a la place d une autre
CR	T2	Est-ce que le vote est obligatoire ?	est ce que le vote est obligatoire
CR	T2	À la fin de son mandat, le président de la République peut-il décider de rester au pouvoir ?	a la fin de son mandat le president de la republique peut il decider de rester au pouvoir
CR	T2	Qui dirige l'action du Gouvernement ?	qui dirige l action du gouvernement
CR	T2	Qui nomme le Premier ministre ?	qui nomme le premier ministre
CR	T2	Quelle est l'organisation administrative de la France ?	quelle est l organisation administrative de la france
CR	T2	Qu'est-ce que le pouvoir législatif ? Le pouvoir :	qu est ce que le pouvoir legislatif le pouvoir
CR	T2	Pourquoi séparer les trois pouvoirs dans une démocratie ?	pourquoi separer les trois pouvoirs dans une democratie
CR	T2	Qui sanctionne l'auteur d'un vol ?	qui sanctionne l auteur d un vol
CR	T2	Quel est le rôle du gouvernement ?	quel est le role du gouvernement
CR	T2	Que se passe-t-il si un ministre ne respecte pas la loi ?	que se passe t il si un ministre ne respecte pas la loi
CR	T2	Combien de députés composent l’Assemblée nationale ?	combien de deputes composent l assemblee nationale
CR	T2	Qui peut voter aux élections en France ?	qui peut voter aux elections en france
CR	T2	Pour combien de temps sont élus les sénateurs ?	pour combien de temps sont elus les senateurs
CR	T2	La séparation des pouvoirs est un principe fondamental. Quels sont les trois pouvoirs concernés ?	la separation des pouvoirs est un principe fondamental quels sont les trois pouvoirs concernes
CR	T2	Est-ce que le président de la République a tous les pouvoirs ?	est ce que le president de la republique a tous les pouvoirs
CR	T2	Qui est le préfet ?	qui est le prefet
CR	T2	Quelle condition est nécessaire pour voter aux élections ?	quelle condition est necessaire pour voter aux elections
CR	T2	Qui dirige la commune ?	qui dirige la commune
CR	T2	Quel est le régime politique de la France aujourd'hui ?	quel est le regime politique de la france aujourd hui
CR	T2	Qu'est-ce que l'Hôtel de Matignon ?	qu est ce que l hotel de matignon
CR	T2	Le Parlement est composé :	le parlement est compose
CR	T2	Quel est le rôle du président de la République ?	quel est le role du president de la republique
CR	T2	Quel est le rôle du Premier ministre ?	quel est le role du premier ministre
CR	T2	Qui est le chef du Gouvernement ?	qui est le chef du gouvernement
CR	T2	Combien y a-t-il de régions en France ?	combien y a t il de regions en france
CR	T2	Quel est le rôle du Défenseur des droits ?	quel est le role du defenseur des droits
CR	T2	Depuis quand l'euro est-elle la monnaie unique ?	depuis quand l euro est elle la monnaie unique
CR	T2	Quel est le rôle principal du département ?	quel est le role principal du departement
CR	T2	Quel est le rôle principal des communes ?	quel est le role principal des communes
CR	T2	Combien de communes environ existe-t-il en France ?	combien de communes environ existe t il en france
CR	T2	Quel traité concerne la construction de l'Union européenne ?	quel traite concerne la construction de l union europeenne
CR	T2	Quel État a quitté l'Union européenne en 2020 ?	quel etat a quitte l union europeenne en 2020
CR	T2	Quelle est la devise de l’Union européenne ?	quelle est la devise de l union europeenne
CR	T2	Quel est l'hymne de l'Union européenne ?	quel est l hymne de l union europeenne
CR	T2	De quoi est composé le drapeau européen ?	de quoi est compose le drapeau europeen
CR	T2	De quelle couleur est le drapeau européen ?	de quelle couleur est le drapeau europeen
CR	T2	En quelle année le traité de Maastricht, qui marque la fondation de l'Union européenne, a-t-il été signé ?	en quelle annee le traite de maastricht qui marque la fondation de l union europeenne a t il ete signe
CR	T2	Où est le siège du Parlement européen ?	ou est le siege du parlement europeen
CR	T2	Où est le siège de la Commission européenne ?	ou est le siege de la commission europeenne
CR	T2	Quel État n'est pas membre de l'Union européenne ?	quel etat n est pas membre de l union europeenne
CR	T2	Quand célèbre-t-on la journée de l'Europe ?	quand celebre t on la journee de l europe
CR	T2	À quelle fréquence les élections européennes sont-elles organisées ?	a quelle frequence les elections europeennes sont elles organisees
CR	T2	Quelle condition est nécessaire pour voter aux élections européennes ?	quelle condition est necessaire pour voter aux elections europeennes
CR	T2	Quel pays est un pays fondateur de l'Union européenne ?	quel pays est un pays fondateur de l union europeenne
CR	T3	À quelle liberté la PMA fait-elle référence ?	a quelle liberte la pma fait elle reference
CR	T3	Au nom de quoi l'État justifie-t-il la restriction des droits ?	au nom de quoi l etat justifie t il la restriction des droits
CR	T3	Concernant le droit de se marier, quelle proposition est correcte ?	concernant le droit de se marier quelle proposition est correcte
CR	T3	Est-il toujours possible de divorcer ?	est il toujours possible de divorcer
CR	T3	La peine de mort est :	la peine de mort est
CR	T3	Laquelle de ces citations est inscrite dans la Déclaration des Droits de l'homme et du Citoyen de 1789 ?	laquelle de ces citations est inscrite dans la declaration des droits de l homme et du citoyen de 1789
CR	T3	Le recours à l'avortement est-il autorisé ?	le recours a l avortement est il autorise
CR	T3	Que contient la Constitution ?	que contient la constitution
CR	T3	Que garantit la liberté de la presse ?	que garantit la liberte de la presse
CR	T3	Que prévoit la Charte de l'environnement ?	que prevoit la charte de l environnement
CR	T3	Que signifie la dignité humaine ?	que signifie la dignite humaine
CR	T3	Que signifie le droit de manifester ?	que signifie le droit de manifester
CR	T3	Que signifie PMA ?	que signifie pma
CR	T3	Quel texte est le plus difficile à modifier ?	quel texte est le plus difficile a modifier
CR	T3	Quelle liberté permet à une personne de croire en la religion de son choix ?	quelle liberte permet a une personne de croire en la religion de son choix
CR	T3	Qu'est-ce que le droit de grève ?	qu est ce que le droit de greve
CR	T3	Qu'est-ce que la Constitution ?	qu est ce que la constitution
CR	T3	Qui peut demander à avorter ?	qui peut demander a avorter
CR	T3	Une femme majeure de nationalité française a-t-elle le droit de voter aux élections ?	une femme majeure de nationalite francaise a t elle le droit de voter aux elections
CR	T3	Concernant l'utilisation des réseaux sociaux, quelle proposition est correcte ?	concernant l utilisation des reseaux sociaux quelle proposition est correcte
CR	T3	Jeter un mégot par terre est :	jeter un megot par terre est
CR	T3	L'État peut-il limiter les droits et libertés ?	l etat peut il limiter les droits et libertes
CR	T3	Parmi ces actions, laquelle permet d'adopter une attitude respectueuse de l’environnement ?	parmi ces actions laquelle permet d adopter une attitude respectueuse de l environnement
CR	T3	Quelle proposition constitue une obligation ?	quelle proposition constitue une obligation
CR	T3	Pour quel motif peut-on limiter la liberté d'expression ?	pour quel motif peut on limiter la liberte d expression
CR	T3	Pourquoi doit-on trier ses déchets ?	pourquoi doit on trier ses dechets
CR	T3	Que doit faire une victime de violences ?	que doit faire une victime de violences
CR	T3	Que doit-on faire face aux ordres des policiers ou gendarmes ?	que doit on faire face aux ordres des policiers ou gendarmes
CR	T3	Quel est le rôle de la police ?	quel est le role de la police
CR	T3	Quel est un exemple d’assistance à personne en danger ?	quel est un exemple d assistance a personne en danger
CR	T3	Quel exemple illustre une limitation de liberté pour protéger l'intérêt général ?	quel exemple illustre une limitation de liberte pour proteger l interet general
CR	T3	Quelle est l’attitude à avoir lorsque qu'on est témoin de violences ?	quelle est l attitude a avoir lorsque qu on est temoin de violences
CR	T3	Quelle est l'infraction la plus grave ?	quelle est l infraction la plus grave
CR	T3	Quelle obligation concerne toutes les personnes résidant en France quelle que soit leur nationalité ?	quelle obligation concerne toutes les personnes residant en france quelle que soit leur nationalite
CR	T3	Quelle proposition représente un exemple de crime ?	quelle proposition represente un exemple de crime
CR	T3	Quelle proposition représente un exemple de délit ?	quelle proposition represente un exemple de delit
CR	T3	Qui veille au maintien de l’ordre public ?	qui veille au maintien de l ordre public
CR	T3	S'agissant des déchets, quelle proposition est correcte ?	s agissant des dechets quelle proposition est correcte
CR	T4	Quel était le surnom de Louis XIV ?	quel etait le surnom de louis xiv
CR	T4	Quel roi de France a été exécuté pendant la Révolution française ?	quel roi de france a ete execute pendant la revolution francaise
CR	T4	En quelle année Napoléon Ier est-il devenu empereur ?	en quelle annee napoleon ier est il devenu empereur
CR	T4	Lequel de ces personnages a un lien avec la République française ?	lequel de ces personnages a un lien avec la republique francaise
CR	T4	De quand date l'appel à la résistance du général de Gaulle ?	de quand date l appel a la resistance du general de gaulle
CR	T4	Pourquoi la Shoah est-elle étudiée à l'école ?	pourquoi la shoah est elle etudiee a l ecole
CR	T4	Quel pays a été colonisé par la France ?	quel pays a ete colonise par la france
CR	T4	Depuis quand les Français élisent-ils le président de la République au suffrage universel direct ?	depuis quand les francais elisent ils le president de la republique au suffrage universel direct
CR	T4	Quelle est la première étape de la construction européenne en 1951 ?	quelle est la premiere etape de la construction europeenne en 1951
CR	T4	Durant le mandat de quel président la peine de mort a-t-elle été abolie ?	durant le mandat de quel president la peine de mort a t elle ete abolie
CR	T4	Quel régime politique a été mis en place pendant la Révolution française en 1792 ?	quel regime politique a ete mis en place pendant la revolution francaise en 1792
CR	T4	Qui était une figure de la Résistance française pendant la Seconde Guerre mondiale ?	qui etait une figure de la resistance francaise pendant la seconde guerre mondiale
CR	T4	En 1944, qu'est-ce qui a changé pour les femmes ?	en 1944 qu est ce qui a change pour les femmes
CR	T4	Quelle organisation internationale a été créée en 1945 après la Seconde Guerre mondiale ?	quelle organisation internationale a ete creee en 1945 apres la seconde guerre mondiale
CR	T4	Quelle peine a été supprimée en 1981 ?	quelle peine a ete supprimee en 1981
CR	T4	En quelle année l'euro est-elle devenue la monnaie utilisée en France ?	en quelle annee l euro est elle devenue la monnaie utilisee en france
CR	T4	En quelle année a commencé la Première Guerre mondiale ?	en quelle annee a commence la premiere guerre mondiale
CR	T4	Où a eu lieu le débarquement en 1944 ?	ou a eu lieu le debarquement en 1944
CR	T4	Quel continent a été le plus concerné par la décolonisation française après la Seconde Guerre mondiale ?	quel continent a ete le plus concerne par la decolonisation francaise apres la seconde guerre mondiale
CR	T4	Que fête-t-on le 8 mai ?	que fete t on le 8 mai
CR	T4	Quelle mer ou océan borde la France métropolitaine ?	quelle mer ou ocean borde la france metropolitaine
CR	T4	Quel pays a une frontière terrestre avec la France métropolitaine ?	quel pays a une frontiere terrestre avec la france metropolitaine
CR	T4	Quelle ville française est un port maritime ?	quelle ville francaise est un port maritime
CR	T4	Quelle mer se situe entre la France et l'Angleterre ?	quelle mer se situe entre la france et l angleterre
CR	T4	Qu'est ce que la France d'outre-mer ?	qu est ce que la france d outre mer
CR	T4	Quelle chaîne de montagnes est située entre la France et l’Espagne ?	quelle chaine de montagnes est situee entre la france et l espagne
CR	T4	Quelle île française se trouve dans l'océan Indien ?	quelle ile francaise se trouve dans l ocean indien
CR	T4	Quelle est la population approximative de la France en 2025 ?	quelle est la population approximative de la france en 2025
CR	T4	Quel fleuve traverse Paris ?	quel fleuve traverse paris
CR	T4	Lequel de ces pays partage des frontières terrestres avec la France ?	lequel de ces pays partage des frontieres terrestres avec la france
CR	T4	Quel pays a une frontière avec la France métropolitaine au nord-est ?	quel pays a une frontiere avec la france metropolitaine au nord est
CR	T4	Où se trouvent les principales activités économiques en France ?	ou se trouvent les principales activites economiques en france
CR	T4	Parmi ces pays, lequel attire le plus de visiteurs chaque année ?	parmi ces pays lequel attire le plus de visiteurs chaque annee
CR	T4	Où habite la majorité des Français ?	ou habite la majorite des francais
CR	T4	Quelle région est la plus peuplée ?	quelle region est la plus peuplee
CR	T4	Quelle ville française fait partie des 10 plus grandes métropoles du pays ?	quelle ville francaise fait partie des 10 plus grandes metropoles du pays
CR	T4	Lequel de ces départements de France est le plus touristique ?	lequel de ces departements de france est le plus touristique
CR	T4	Quand peut-on visiter gratuitement des lieux culturels en France ?	quand peut on visiter gratuitement des lieux culturels en france
CR	T4	Combien de personnes parlent français dans le monde ?	combien de personnes parlent francais dans le monde
CR	T4	Qui était Marguerite Yourcenar ?	qui etait marguerite yourcenar
CR	T4	Quel peintre est français ?	quel peintre est francais
CR	T4	Quel musée est situé à Paris ?	quel musee est situe a paris
CR	T4	Qui était Auguste Rodin ?	qui etait auguste rodin
CR	T4	Quel est le classement de la langue française parmi les langues les plus parlées dans le monde ?	quel est le classement de la langue francaise parmi les langues les plus parlees dans le monde
CR	T4	Quelle cathédrale célèbre a été en partie détruite par un incendie en 2019 ?	quelle cathedrale celebre a ete en partie detruite par un incendie en 2019
CR	T4	Qui était une écrivaine française célèbre ?	qui etait une ecrivaine francaise celebre
CR	T4	Qui était un célèbre musicien français ?	qui etait un celebre musicien francais
CR	T4	Qui était Auguste Renoir ?	qui etait auguste renoir
CR	T4	Quelle fête est française ?	quelle fete est francaise
CR	T5	Quel mariage est reconnu par l'État ?	quel mariage est reconnu par l etat
CR	T5	Auprès de quelle institution les parents peuvent-ils inscrire leur enfant à l'école publique ?	aupres de quelle institution les parents peuvent ils inscrire leur enfant a l ecole publique
CR	T5	En cas de divorce, qui exerce l'autorité parentale ?	en cas de divorce qui exerce l autorite parentale
CR	T5	Quelle aide permet aux personnes qui ont des difficultés financières d'avoir un avocat ?	quelle aide permet aux personnes qui ont des difficultes financieres d avoir un avocat
CR	T5	Où faut-il déclarer la naissance d'un enfant ?	ou faut il declarer la naissance d un enfant
CR	T5	Quelle est l'une des conditions pour passer l'examen du permis de conduire ?	quelle est l une des conditions pour passer l examen du permis de conduire
CR	T5	Un bail locatif est valide s'il est :	un bail locatif est valide s il est
CR	T5	Où peut-on déposer un lave-vaisselle cassé ?	ou peut on deposer un lave vaisselle casse
CR	T5	Quel numéro d'urgence permet d'appeler la police ?	quel numero d urgence permet d appeler la police
CR	T5	Concernant l'accès aux soins, quelle proposition est correcte ?	concernant l acces aux soins quelle proposition est correcte
CR	T5	À qui est accessible la contraception ?	a qui est accessible la contraception
CR	T5	Qu’est-ce que le principe de confidentialité dans le domaine de la santé ?	qu est ce que le principe de confidentialite dans le domaine de la sante
CR	T5	L'inscription à l'Assurance maladie est :	l inscription a l assurance maladie est
CR	T5	Qui peut demander un congé parental d'éducation ?	qui peut demander un conge parental d education
CR	T5	Quelles sont les affaires traitées par le conseil de prud'hommes ?	quelles sont les affaires traitees par le conseil de prud hommes
CR	T5	Travailler sans être déclaré est :	travailler sans etre declare est
CR	T5	Lorsqu'un employeur veut qu'un salarié travaille plus longtemps que la durée prévue dans le contrat de travail :	lorsqu un employeur veut qu un salarie travaille plus longtemps que la duree prevue dans le contrat de travail
CR	T5	Quelle est la mission de France Travail ?	quelle est la mission de france travail
CR	T5	Dans une entreprise, le droit syndical permet :	dans une entreprise le droit syndical permet
CR	T5	Dans une entreprise, le droit de grève autorise :	dans une entreprise le droit de greve autorise
CR	T5	Quelles sont les conditions pour toucher les allocations chômage ?	quelles sont les conditions pour toucher les allocations chomage
CR	T5	Qu'est-ce que l'école maternelle ?	qu est ce que l ecole maternelle
CR	T5	Comment s'appelle le diplôme passé par les élèves à la fin du collège ?	comment s appelle le diplome passe par les eleves a la fin du college
CR	T5	Les parents d'élève ont le droit de :	les parents d eleve ont le droit de
CR	T5	Qui peut manger à la cantine scolaire ?	qui peut manger a la cantine scolaire
CR	T5	À quel âge commence l'instruction obligatoire des enfants ?	a quel age commence l instruction obligatoire des enfants
CR	T5	Quel est l'âge de la majorité ?	quel est l age de la majorite
CR	T5	À l'école, il est interdit aux parents de :	a l ecole il est interdit aux parents de
CR	T5	Quel motif d'absence est accepté par l'école ?	quel motif d absence est accepte par l ecole
CR	T5	Des parents ne respectent pas l'obligation d'instruction pour leurs enfants. Quelle sanction maximale risquent-ils ?	des parents ne respectent pas l obligation d instruction pour leurs enfants quelle sanction maximale risquent ils
CR	T5	Quand ont lieu les vacances scolaires de Noël ?	quand ont lieu les vacances scolaires de noel
CR	T5	À l'école, un enfant en situation de handicap :	a l ecole un enfant en situation de handicap
